frame_id	cam_pitch	cam_yaw		vehicel_speed	steeringwheel_angle
  110		-3.170000	-0.600000	10.453125		94.312500
  111		-3.170000	-0.600000	10.734375		89.312500
  112		-3.170000	-0.600000	10.734375		85.750000
  113		-3.170000	-0.600000	11.078125		79.875000
  114		-3.170000	-0.600000	11.296875		73.687500
  115		-3.170000	-0.600000	11.468750		66.312500
  116		-3.170000	-0.600000	11.468750		64.312500
  117		-3.170000	-0.600000	11.687500		57.000000
  118		-3.170000	-0.600000	11.687500		52.375000
  119		-3.170000	-0.600000	11.921875		48.062500
  120		-3.170000	-0.600000	11.921875		46.750000
  121		-3.170000	-0.600000	12.093750		41.687500
  122		-3.170000	-0.600000	12.203125		37.062500
  123		-3.170000	-0.600000	12.312500		33.187500
  124		-3.170000	-0.600000	12.312500		31.562500
  125		-3.170000	-0.600000	12.484375		29.750000
  126		-3.170000	-0.600000	12.703125		28.500000
  127		-3.170000	-0.600000	12.703125		26.500000
  128		-3.170000	-0.600000	12.875000		24.687500
  129		-3.170000	-0.600000	12.937500		20.687500
  130		-3.170000	-0.600000	12.937500		19.125000
  131		-3.170000	-0.600000	12.984375		16.000000
  132		-3.170000	-0.600000	13.046875		15.000000
  133		-3.170000	-0.600000	13.093750		12.687500
  134		-3.170000	-0.600000	13.093750		12.062500
  135		-3.170000	-0.600000	13.218750		9.687500
  136		-3.170000	-0.600000	13.218750		7.750000
  137		-3.170000	-0.600000	13.156250		6.437500
  138		-3.170000	-0.600000	13.156250		5.875000
  139		-3.170000	-0.600000	13.093750		4.750000
  140		-3.170000	-0.600000	13.093750		4.312500
  141		-3.170000	-0.600000	13.046875		3.687500
  142		-3.170000	-0.600000	13.046875		3.250000
  143		-3.170000	-0.600000	12.984375		2.500000
  144		-3.170000	-0.600000	13.046875		2.312500
  145		-3.170000	-0.600000	13.046875		2.062500
  146		-3.170000	-0.600000	12.875000		1.937500
  147		-3.170000	-0.600000	12.765625		1.875000
  148		-3.170000	-0.600000	12.765625		1.937500
  149		-3.170000	-0.600000	12.765625		1.937500
  150		-3.170000	-0.600000	12.765625		1.937500
  151		-3.170000	-0.600000	12.593750		2.125000
  152		-3.170000	-0.600000	12.593750		2.250000
  153		-3.170000	-0.600000	12.593750		2.437500
  154		-3.170000	-0.600000	12.593750		2.500000
  155		-3.170000	-0.600000	12.484375		3.437500
  156		-3.170000	-0.600000	12.484375		3.687500
  157		-3.170000	-0.600000	12.484375		3.937500
  158		-3.170000	-0.600000	12.421875		3.875000
  159		-3.170000	-0.600000	12.375000		3.812500
  160		-3.170000	-0.600000	12.375000		3.437500
  161		-3.170000	-0.600000	12.312500		2.687500
  162		-3.170000	-0.600000	12.203125		2.312500
  163		-3.170000	-0.600000	12.140625		2.250000
  164		-3.170000	-0.600000	12.140625		2.250000
  165		-3.170000	-0.600000	12.093750		2.125000
  166		-3.170000	-0.600000	12.093750		1.500000
  167		-3.170000	-0.600000	11.968750		0.500000
  168		-3.170000	-0.600000	11.921875		0.000000
